,type,title,author,date,price,sales,review_num,review_score
244,[도서],오래된 서울,최종현,2013년 03월,18000,1608,3,8.7
245,[도서],슬픔의 위로,메건 더바인,2020년 03월,14400,426,4,9.6
246,[eBook],쉬어도 피곤한 사람들,이시형,2018년 05월,10000,270,1,10.0
247,[eBook],여덟 건의 완벽한 살인,피터 스완슨,2022년 04월,13500,2490,4,8.1
248,[도서],책벌레와 메모광,정민,2015년 10월,13500,1044,29,8.8
249,[도서],새벽까지 희미하게,정미경,2018년 01월,11700,234,9,9.6
250,[eBook],오직 두 사람,김영하,2017년 06월,9100,1194,29,8.7
251,[도서],관계 수업,데이비드 번즈,2015년 02월,13500,1206,35,9.0
252,[도서],그림자 효과,디팩 초프라,2017년 02월,14000,948,0,0
253,[도서],혼자가 좋다,프란치스카 무리,2018년 05월,13500,372,9,8.1
254,[도서],쓰레기에 관한 모든 것,피에로 마틴,2020년 07월,17100,762,20,9.7
255,[도서],"안녕하세요, 시간입니다 ",슈테판 클라인,2017년 06월,13500,666,18,8.5
256,[도서],두려움의 재발견,로버트 마우어,2016년 09월,3240,660,14,8.8
257,[도서],세계에서 가장 자극적인 나라,짐 로저스,2019년 05월,14400,600,45,8.6
258,[eBook],인류를 식량 위기에서 구할 음식의 모험가들,아만다 리틀,2021년 06월,14000,204,0,0
259,[도서],心 스틸러,이현종,2015년 01월,13500,366,5,7.6
260,[도서],인생 우화,류시화,2018년 07월,14400,1572,103,9.3
261,[eBook],혼자가 좋다,프란치스카 무리,2018년 06월,11000,120,3,10.0
262,[eBook],찻잔 속 물리학,헬렌 체르스키,2018년 03월,11760,414,0,0
263,[도서],자연에는 이야기가 있다,조홍섭,2013년 12월,12600,120,2,8.5
264,[eBook],일본인 심리 상자,유영수,2016년 12월,11000,132,0,0
265,[eBook],2030 기회의 대이동,최윤식,2014년 08월,8820,60,1,10.0
266,[eBook],"[epub3.0] 의심의 철학 - 비트겐슈타인, 언어를 의심하다",이진우,2019년 03월,1500,372,1,10.0
267,[eBook],실격당한 자들을 위한 변론,김원영,2018년 06월,11200,2532,11,9.8
268,[eBook],살아 있는 자를 수선하기,마일리스 드 케랑갈,2017년 08월,11500,1428,322,9.2
269,[eBook],"나는, 휴먼",주디스 휴먼,2022년 03월,11900,288,0,0
270,[도서],우리가 날씨다,조너선 사프란 포어,2020년 10월,14400,1326,18,9.1
271,[eBook],감염병 인류,박한선,2021년 04월,14000,228,0,0
272,[도서],화려한 화학의 시대,프랭크 A. 폰 히펠,2021년 11월,20700,3840,2,8.5
273,[도서],조르바를 춤추게 하는 글쓰기,이윤기,2013년 10월,12420,168,28,8.7
274,[eBook],"나는 풍요로웠고, 지구는 달라졌다",호프 자런,2020년 09월,9720,3336,6,9.4
275,[도서],커피 얼룩의 비밀,송현수,2018년 11월,13500,1008,12,8.8
276,[eBook],엘리트 세습,대니얼 마코비츠,2021년 02월,15400,918,1,9.0
277,[도서],목소리를 삼킨 아이,파리누쉬 사니이,2020년 08월,13500,1017,14,9.6
278,[도서],낯선 삼일운동,정병욱,2022년 02월,15300,738,0,0
279,[도서],어머니학교,이정록,2012년 10월,9900,696,45,9.1
280,[도서],불과 나의 자서전,김혜진,2020년 03월,11700,522,35,9.1
